Name,Value,Weight
Product_841,967,11
Product_764,158,15
Product_694,417,16
Product_425,268,14
Product_68,452,4
Product_527,358,2
Product_564,865,11
Product_585,140,15
Product_67,142,14
Product_810,867,9
Product_799,975,15
Product_848,453,3
Product_897,270,1
Product_891,865,7
Product_663,688,13
Product_267,836,7
Product_681,683,8
Product_354,783,20
Product_903,645,16
Product_106,487,6
Product_366,971,2
Product_395,129,9
Product_845,935,4
Product_460,574,7
Product_956,483,7
Product_945,253,10
Product_286,162,7
Product_315,722,1
Product_882,397,6
Product_776,630,20
Product_857,815,17
Product_206,698,12
Product_318,487,4
Product_204,843,4
Product_455,779,20
Product_543,848,13
Product_464,466,16
Product_97,564,19
Product_612,376,14
Product_938,549,7
Product_917,579,4
Product_662,270,15
Product_125,396,8
Product_701,256,2
Product_908,197,15
Product_661,723,6
Product_849,683,4
Product_341,139,4
Product_676,693,3
Product_33,741,2
Product_379,481,7
Product_657,412,16
Product_270,729,16
Product_782,616,10
Product_809,903,2
Product_114,423,9
Product_689,926,5
Product_738,968,20
Product_915,251,17
Product_720,119,18
Product_355,666,14
Product_316,806,10
Product_282,194,17
Product_94,136,17
Product_437,901,18
Product_984,205,19
Product_191,820,14
Product_586,910,17
Product_358,713,9
Product_27,796,17
Product_30,673,3
Product_132,684,4
Product_448,918,15
Product_190,663,18
Product_100,807,9
Product_111,396,4
Product_914,325,10
Product_438,301,7
Product_510,965,17
Product_88,951,10
Product_618,864,17
Product_168,884,11
Product_565,406,6
Product_130,443,14
Product_390,165,19
Product_176,322,15
Product_346,221,8
Product_840,123,18
Product_402,544,12
Product_31,562,10
Product_119,771,16
Product_535,273,5
Product_371,922,5
Product_451,476,3
Product_740,905,1
Product_796,835,7
Product_297,909,10
Product_222,134,19
Product_930,746,6
Product_320,909,12
Product_334,391,18
Product_49,634,5
Product_73,381,19
Product_803,871,9
Product_440,844,9
Product_550,986,8
Product_249,418,8
Product_749,794,16
Product_231,723,2
Product_547,228,4
Product_580,552,15
Product_864,234,10
Product_483,405,7
Product_608,187,19
Product_650,887,6
Product_773,609,1
Product_5,339,12
Product_403,265,4
Product_508,316,6
Product_716,675,7
Product_117,106,20
Product_139,933,7
Product_71,336,20
Product_834,143,16
Product_124,434,1
Product_511,669,6
Product_11,823,16
Product_157,937,3
Product_194,393,18
Product_432,230,14
Product_631,591,1
Product_765,632,13
Product_385,266,20
Product_333,877,19
Product_560,754,13
Product_584,172,9
Product_784,242,20
Product_193,769,14
Product_615,100,20
Product_127,326,13
Product_993,179,15
Product_215,161,4
Product_709,652,16
Product_989,736,9
Product_714,693,2
Product_213,896,5
Product_235,386,5
Product_51,597,2
Product_794,624,13
Product_962,285,6
Product_967,987,18
Product_902,588,3
Product_980,699,17
Product_182,160,15
Product_102,173,15
Product_522,383,10
Product_167,727,18
Product_169,469,1
Product_305,899,8
Product_252,122,10
Product_7,659,18
Product_823,758,19
Product_942,228,3
Product_221,139,6
Product_66,689,14
Product_65,169,13
Product_29,300,10
Product_868,641,15
Product_387,680,15
Product_477,457,10
Product_568,324,19
Product_877,870,11
Product_85,456,2
Product_409,271,13
Product_516,126,8
Product_46,604,16
Product_642,862,5
Product_120,676,3
Product_41,144,20
Product_273,797,15
Product_493,305,11
Product_218,650,19
Product_536,107,2
Product_230,234,1
Product_138,174,16
Product_243,355,7
Product_589,567,16
Product_400,843,12
Product_488,585,6
Product_906,276,19
Product_907,634,3
Product_623,773,10
Product_780,299,18
Product_969,697,18
Product_210,423,9
Product_264,579,2
Product_107,136,5
Product_298,199,2
Product_779,467,3
Product_521,822,16
Product_992,752,6
Product_216,657,12
Product_883,387,13
Product_609,863,4
Product_201,692,12
Product_760,805,12
Product_269,141,15
Product_913,750,3
Product_110,454,15
Product_452,690,20
Product_266,504,1
Product_866,277,12
Product_389,284,9
Product_688,715,14
Product_953,609,17
Product_233,698,8
Product_200,339,16
Product_256,769,16
Product_384,822,2
Product_534,531,8
Product_428,990,8
Product_865,797,13
Product_158,999,16
Product_820,508,4
Product_759,212,8
Product_761,633,17
Product_571,754,17
Product_981,155,14
Product_540,309,18
Product_177,257,9
Product_597,229,5
Product_859,750,8
Product_248,683,6
Product_449,291,1
Product_171,701,14
Product_528,719,4
Product_869,492,9
Product_918,790,7
Product_331,255,12
Product_852,622,18
Product_135,580,19
Product_411,698,4
Product_818,687,13
Product_800,980,10
Product_854,556,12
Product_603,303,20
Product_198,524,3
Product_81,935,3
Product_393,993,15
Product_146,886,2
Product_413,113,11
Product_37,283,12
Product_901,455,8
Product_658,387,18
Product_596,527,8
Product_741,707,2
Product_288,817,5
Product_577,831,1
Product_702,708,1
Product_839,929,15
Product_295,767,13
Product_253,119,19
Product_509,614,10
Product_383,152,15
Product_987,163,14
Product_900,481,6
Product_16,970,13
Product_444,294,15
Product_927,602,20
Product_555,432,9
Product_828,197,15
Product_889,681,8
Product_149,397,6
Product_785,497,6
Product_667,867,12
Product_614,831,13
Product_684,667,13
Product_569,595,12
Product_638,483,19
Product_875,986,15
Product_377,107,8
Product_394,914,3
Product_718,307,2
Product_156,760,2
Product_291,857,6
Product_668,215,17
Product_744,901,3
Product_192,606,4
Product_592,953,14
Product_707,530,6
Product_481,301,17
Product_345,909,19
Product_180,234,12
Product_959,407,20
Product_966,457,5
Product_22,465,16
Product_299,699,3
Product_879,701,16
Product_181,668,11
Product_911,750,7
Product_929,864,13
Product_332,745,6
Product_349,239,15
Product_287,749,17
Product_289,615,8
Product_373,795,20
Product_421,203,16
Product_14,819,20
Product_53,177,11
Product_263,169,11
Product_324,635,2
Product_499,840,15
Product_57,315,18
Product_348,522,4
Product_507,361,20
Product_838,470,1
Product_92,952,1
Product_375,883,10
Product_756,308,10
Product_518,368,10
Product_72,284,12
Product_109,106,12
Product_335,921,1
Product_35,373,11
Product_241,902,17
Product_479,495,7
Product_185,498,9
Product_417,851,3
Product_494,527,5
Product_666,512,9
Product_734,956,4
Product_211,529,14
Product_753,767,20
Product_330,322,2
Product_622,220,7
Product_343,374,9
Product_774,608,17
Product_276,585,11
Product_128,962,14
Product_362,723,10
Product_61,116,18
Product_768,419,1
Product_970,109,10
Product_205,199,6
Product_554,699,2
Product_364,628,4
Product_86,756,15
